SampleID	CFL_ID	Site	Sample_type	Soil-tree_type	Treatment	Conservation_time_week	Repetition	Depth	Extraction_date					
GRDI-ECO_PS-CM-202108-DFM3-1_ITS	DFM3-1	Valcartier	Soil	Forest mineral	Dry-Dry	3	1	50 cm	2021-08-19					
GRDI-ECO_PS-CM-202108-DFM3-2_ITS	DFM3-2	Valcartier	Soil	Forest mineral	Dry-Dry	3	2	50 cm	2021-08-19					
GRDI-ECO_PS-CM-202108-DFM3-3_ITS	DFM3-3	Valcartier	Soil	Forest mineral	Dry-Dry	3	3	50 cm	2021-08-19					
GRDI-ECO_PS-CM-202108-FFM-1_ITS	FFM-1	Valcartier	Soil	Forest mineral	Freeze	Ref-frozen	1	50 cm	2021-08-19					
GRDI-ECO_PS-CM-202108-FFM-2_ITS	FFM-2	Valcartier	Soil	Forest mineral	Freeze	Ref-frozen	2	50 cm	2021-08-19					
GRDI-ECO_PS-CM-202108-FFM-3_ITS	FFM-3	Valcartier	Soil	Forest mineral	Freeze	Ref-frozen	3	50 cm	2021-08-19					
GRDI-ECO_PS-CM-202108-FM-1_ITS	FM-1	Valcartier	Soil	Forest mineral	Immediate extraction	Ref-fresh	1	50 cm	2021-07-16					
GRDI-ECO_PS-CM-202108-FM-2_ITS	FM-2	Valcartier	Soil	Forest mineral	Immediate extraction	Ref-fresh	2	50 cm	2021-07-16					
GRDI-ECO_PS-CM-202108-FM-3_ITS	FM-3	Valcartier	Soil	Forest mineral	Immediate extraction	Ref-fresh	3	50 cm	2021-07-16					
GRDI-ECO_PS-CM-202108-RFO1-1_ITS	RFO1-1	Valcartier	Soil	Forest organic	RNAlater	1	1	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-RFO1-2_ITS	RFO1-2	Valcartier	Soil	Forest organic	RNAlater	1	2	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-RFO1-3_ITS	RFO1-3	Valcartier	Soil	Forest organic	RNAlater	1	3	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-RFO2-1_ITS	RFO2-1	Valcartier	Soil	Forest organic	RNAlater	2	1	0-7 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-RFO2-2_ITS	RFO2-2	Valcartier	Soil	Forest organic	RNAlater	2	2	0-7 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-RFO2-3_ITS	RFO2-3	Valcartier	Soil	Forest organic	RNAlater	2	3	0-7 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-RFO3-1_ITS	RFO3-1	Valcartier	Soil	Forest organic	RNAlater	3	1	0-7 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-RFO3-2_ITS	RFO3-2	Valcartier	Soil	Forest organic	RNAlater	3	2	0-7 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-RFO3-3_ITS	RFO3-3	Valcartier	Soil	Forest organic	RNAlater	3	3	0-7 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-EFO1-1_ITS	EFO1-1	Valcartier	Soil	Forest organic	Ethanol	1	1	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-EFO1-2_ITS	EFO1-2	Valcartier	Soil	Forest organic	Ethanol	1	2	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-EFO1-3_ITS	EFO1-3	Valcartier	Soil	Forest organic	Ethanol	1	3	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-EFO2-1_ITS	EFO2-1	Valcartier	Soil	Forest organic	Ethanol	2	1	0-7 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-EFO2-2_ITS	EFO2-2	Valcartier	Soil	Forest organic	Ethanol	2	2	0-7 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-EFO2-3_ITS	EFO2-3	Valcartier	Soil	Forest organic	Ethanol	2	3	0-7 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-EFO3-1_ITS	EFO3-1	Valcartier	Soil	Forest organic	Ethanol	3	1	0-7 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-EFO3-2_ITS	EFO3-2	Valcartier	Soil	Forest organic	Ethanol	3	2	0-7 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-EFO3-3_ITS	EFO3-3	Valcartier	Soil	Forest organic	Ethanol	3	3	0-7 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-LFO1-1_ITS	LFO1-1	Valcartier	Soil	Forest organic	LifeGuard	1	1	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-LFO1-2_ITS	LFO1-2	Valcartier	Soil	Forest organic	LifeGuard	1	2	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-LFO1-3_ITS	LFO1-3	Valcartier	Soil	Forest organic	LifeGuard	1	3	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-LFO2-1_ITS	LFO2-1	Valcartier	Soil	Forest organic	LifeGuard	2	1	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-LFO2-2_ITS	LFO2-2	Valcartier	Soil	Forest organic	LifeGuard	2	2	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-LFO2-3_ITS	LFO2-3	Valcartier	Soil	Forest organic	LifeGuard	2	3	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-LFO3-1_ITS	LFO3-1	Valcartier	Soil	Forest organic	LifeGuard	3	1	0-7 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-LFO3-2_ITS	LFO3-2	Valcartier	Soil	Forest organic	LifeGuard	3	2	0-7 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-LFO3-3_ITS	LFO3-3	Valcartier	Soil	Forest organic	LifeGuard	3	3	0-7 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-CFO1-1_ITS	CFO1-1	Valcartier	Soil	Forest organic	CD1	1	1	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-CFO1-2_ITS	CFO1-2	Valcartier	Soil	Forest organic	CD1	1	2	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-CFO1-3_ITS	CFO1-3	Valcartier	Soil	Forest organic	CD1	1	3	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-CFO2-1_ITS	CFO2-1	Valcartier	Soil	Forest organic	CD1	2	1	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-CFO2-2_ITS	CFO2-2	Valcartier	Soil	Forest organic	CD1	2	2	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-CFO2-3_ITS	CFO2-3	Valcartier	Soil	Forest organic	CD1	2	3	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-CFO3-1_ITS	CFO3-1	Valcartier	Soil	Forest organic	CD1	3	1	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-CFO3-2_ITS	CFO3-2	Valcartier	Soil	Forest organic	CD1	3	2	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-CFO3-3_ITS	CFO3-3	Valcartier	Soil	Forest organic	CD1	3	3	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-DFO1-1_ITS	DFO1-1	Valcartier	Soil	Forest organic	Dry-Dry	1	1	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-DFO1-2_ITS	DFO1-2	Valcartier	Soil	Forest organic	Dry-Dry	1	2	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-DFO1-3_ITS	DFO1-3	Valcartier	Soil	Forest organic	Dry-Dry	1	3	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-DFO2-1_ITS	DFO2-1	Valcartier	Soil	Forest organic	Dry-Dry	2	1	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-DFO2-2_ITS	DFO2-2	Valcartier	Soil	Forest organic	Dry-Dry	2	2	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-DFO2-3_ITS	DFO2-3	Valcartier	Soil	Forest organic	Dry-Dry	2	3	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-DFO3-1_ITS	DFO3-1	Valcartier	Soil	Forest organic	Dry-Dry	3	1	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-DFO3-2_ITS	DFO3-2	Valcartier	Soil	Forest organic	Dry-Dry	3	2	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-DFO3-3_ITS	DFO3-3	Valcartier	Soil	Forest organic	Dry-Dry	3	3	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-FFO-1_ITS	FFO-1	Valcartier	Soil	Forest organic	Freeze	Ref-frozen	1	0-7 cm	2021-08-16					
